,0,1
241,2186,1215
242,2186,2067
243,2186,2075
244,2189,1035
245,2190,2072
246,2190,2161
247,2192,2099
248,2194,1111
249,2194,1118
250,2198,1213
251,2210,2143
252,2210,2171
253,2211,1084
254,2211,1143
255,2211,1201
256,2211,2117
257,2212,2084
258,2212,2119
259,2214,1083
260,2216,1035
261,2216,1053
262,2216,1072
263,2217,5274
264,2219,1128
265,2219,2173
266,2220,106067
267,2223,1084
268,2223,2211
269,2225,2122
270,2226,2066
271,2226,2091
272,2226,2092
273,2226,2192
274,2228,1002
275,2228,1071
276,2228,1159
277,2228,2054
278,2230,1177
279,2230,2091
280,2230,2125
281,2230,2156
282,2231,2038
283,2232,1091
284,2234,2167
285,2236,2143
286,2236,2171
287,2236,2210
288,2237,1084
289,2237,1143
290,2237,1201
291,2237,2117
292,2237,2211
293,2242,2007
294,2242,2191
295,2244,2054
296,2244,2057
297,2244,2159
298,2244,2160
299,2245,1081
300,2246,2240
301,2249,2106
302,2249,2172
303,2250,1213
304,2254,2034
305,3002,1197
306,3002,1206
307,3002,2042
308,3002,2121
309,3004,1197
310,3006,1182
311,3007,1203
312,3007,1215
313,3007,2067
314,3007,2075
315,3007,2084
316,3007,2119
317,3007,2143
318,3007,2158
319,3007,2171
320,3007,2186
321,3007,2210
322,3007,2236
323,3009,1137
324,3009,1188
325,3017,1041
326,3017,1205
327,3018,101093
328,3019,2016
329,3020,1003
330,3020,1033
331,3020,1071
332,3020,1107
333,3020,2040
334,3020,2072
335,3020,2076
336,3020,2091
337,3020,2130
338,3020,2132
339,3020,2161
340,3020,2190
341,3022,1049
342,3022,1143
343,3024,1144
344,3024,2146
345,3025,1200
346,3025,1212
347,3025,2103
348,3031,1084
349,3031,1201
350,3031,2117
351,3031,2211
352,3031,2237
353,3032,1204
354,3033,1049
355,3033,1143
356,3033,2006
357,3033,2159
358,3035,2188
359,3036,1053
360,3036,1063
361,3036,1180
362,3037,1199
363,3037,2180
364,3041,1131
365,3041,2028
366,3042,2028
367,3042,2056
368,3042,2160
369,3042,2189
370,3045,1092
371,3045,2072
372,3045,2091
373,3045,2161
374,3045,2190
375,3045,3020
376,3048,2044
377,3048,3004
378,3049,1097
379,3050,2149
380,3050,2159
381,3050,3032
382,3051,1178
383,3052,1192
384,3052,2076
385,3052,2091
386,3052,3016
387,3053,1054
388,3053,2100
389,3054,2072
390,3054,2091
391,3054,2161
392,3054,2190
393,3054,3020
394,3054,3045
395,3055,3032
396,3057,3037
397,3059,2046
398,3059,3050
399,3061,1113
400,3061,2076
401,3061,2091
402,3061,4004
403,3064,12228
404,3065,1027
405,3066,2073
406,3067,1197
407,3067,1206
408,3067,2164
409,3068,1204
410,3069,1205
411,3074,1113
412,3074,2072
413,3074,2161
414,3074,3020
415,3074,3045
416,3075,2075
417,3075,2186
418,3076,1003
419,3076,1033
420,3076,1071
421,3076,1107
422,3076,1126
423,3076,1209
424,3076,2040
425,3076,2072
426,3076,2076
427,3076,2091
428,3076,2130
429,3076,2132
430,3076,2161
431,3076,2190
432,3076,3020
433,3076,3045
434,3076,3052
435,3076,3054
436,3076,4028
437,3076,5016
438,3076,8151
439,3077,1182
440,3081,1124
441,3081,2050
442,3084,4132
443,3086,1002
444,3086,1071
445,3086,1112
446,3086,1113
447,3086,1176
448,3086,1197
449,3086,1206
450,3086,1209
451,3086,2047
452,3086,2054
453,3086,2070
454,3086,2073
455,3086,2094
456,3086,2164
457,3086,3052
458,3086,3117
459,3086,3148
460,3086,3197
461,3086,3237
462,3086,3248
463,3086,3256
464,3086,4003
465,3086,4094
466,3086,4097
467,3086,4109
468,3086,4125
469,3086,4126
470,3086,4155
471,3086,5028
472,3086,5032
473,3086,5139
474,3086,5212
475,3086,5239
476,3086,5248
477,3086,6044
478,3086,6069
479,3086,6139
480,3086,6164
481,3086,6204
482,3086,6232
483,3086,7014
484,3086,7044
485,3086,7060
486,3086,7064
487,3086,7120
488,3086,7159
489,3086,7177
490,3086,7178
491,3086,7223
492,3086,7239
493,3086,8008
494,3086,8087
495,3086,8102
496,3086,8151
497,3086,8188
498,3086,8190
499,3086,8192
500,3086,8193
501,3086,8197
502,3086,8245
503,3086,9006
504,3086,9010
505,3086,9056
506,3086,9059
507,3086,9064
508,3086,9083
509,3086,9087
510,3086,9122
511,3086,9127
512,3086,9132
513,3086,9160
514,3086,9167
515,3086,9175
516,3086,9180
517,3086,9183
518,3086,9184
519,3086,9199
520,3086,9207
521,3086,9212
522,3086,9247
523,3086,10063
524,3086,10093
525,3093,2193
526,3093,3012
527,3093,105085
528,3095,1046
529,3096,1138
530,3098,2091
531,3099,2236
532,3099,3006
533,3099,101093
534,3100,2140
535,3101,1084
536,3101,1201
537,3101,2117
538,3101,2211
539,3101,2237
540,3101,3031
541,3102,2104
542,3102,2192
543,3103,2028
544,3103,2056
545,3103,2099
546,3103,2192
547,3106,2028
548,3109,1113
549,3109,2072
550,3109,2091
551,3109,2132
552,3110,1037
553,3110,1132
554,3110,2117
555,3110,2211
556,3110,3101
557,3113,1118
558,3113,1215
559,3113,2186
560,3114,2245
561,3116,2066
562,3116,2159
563,3116,2160
564,3116,2170
565,3116,2226
566,3117,1071
567,3117,1159
568,3118,2091
569,3119,1057
570,3119,1204
571,3120,2154
572,3122,1084
573,3122,1201
574,3122,2117
575,3122,2211
576,3122,2237
577,3124,1084
578,3124,2117
579,3124,2211
580,3124,2237
581,3124,3031
582,3124,3101
583,3124,3110
584,3126,1067
585,3129,3007
586,3130,2223
587,3131,1105
588,3131,1135
589,3131,1203
590,3131,1215
591,3131,2011
592,3131,2016
593,3131,2023
594,3131,2075
595,3131,2090
596,3131,2101
597,3131,2138
598,3131,2158
599,3131,3006
600,3131,3012
601,3135,2245
602,3136,1103
603,3136,1197
604,3136,1206
605,3136,2159
606,3136,2160
607,3136,2192
608,3136,2244
609,3136,3075
610,3137,1027
611,3137,1182
612,3137,1203
613,3137,1215
614,3137,2067
615,3137,2075
616,3137,2186
617,3140,3049
618,3145,1056
619,3145,2067
620,3145,2075
621,3145,2186
622,3145,3113
623,3146,3112
624,3147,1122
625,3147,1193
626,3147,2111
627,3147,2230
628,3148,1002
629,3148,1033
630,3148,1192
631,3148,1211
632,3148,2042
633,3148,2054
634,3148,2091
635,3148,2126
636,3148,3002
637,3148,3052
638,3151,2160
639,3156,2217
640,3157,2242
641,3159,12228
642,3160,1027
643,3160,1182
644,3160,1215
645,3160,2067
646,3160,2075
647,3160,2143
648,3160,2158
649,3160,2186
650,3160,3007
651,3160,3113
652,3160,3145
653,3160,4147
654,3161,1106
655,3162,1003
656,3162,1107
657,3162,1113
658,3162,2072
659,3162,2091
660,3162,2161
661,3162,2190
662,3162,3020
663,3162,3045
664,3162,3054
665,3162,3074
666,3162,3076
667,3166,1037
668,3167,3149
669,3168,3078
670,3169,2060
671,3171,3070
672,3173,3037
673,3173,3075
674,3174,1159
675,3174,1206
676,3174,2042
677,3174,2072
678,3174,2092
679,3174,2130
680,3174,2161
681,3174,3020
682,3176,1027
683,3176,1182
684,3176,1215
685,3176,2067
686,3176,2075
687,3176,2084
688,3176,2119
689,3176,2158
690,3176,2171
691,3176,2186
692,3176,3007
693,3176,3113
694,3176,3137
695,3176,3160
696,3177,3178
697,3178,3177
698,3179,1193
699,3179,2230
700,3180,1144
701,3180,1203
702,3180,1215
703,3180,2067
704,3180,2075
705,3180,2143
706,3180,2171
707,3180,2186
708,3180,2210
709,3180,3007
710,3180,3044
711,3180,3113
712,3180,3145
713,3183,2159
714,3183,2160
715,3183,2226
716,3183,3042
717,3183,3050
718,3183,3116
719,3184,3029
720,3185,1093
721,3187,1037
722,3187,1053
723,3187,1132
724,3187,1199
725,3187,2016
726,3187,2117
727,3187,2211
728,3187,2237
729,3187,3037
730,3187,3057
731,3187,3101
732,3187,3110
733,3187,3173
734,3190,2068
735,3192,3193
736,3195,1162
737,3196,1113
738,3197,1002
739,3197,1071
740,3197,1159
741,3197,3117
742,3198,2222
743,3200,1105
744,3200,1135
745,3200,1203
746,3200,1215
747,3200,2011
748,3200,2016
749,3200,2023
750,3200,2075
751,3200,2090
752,3200,2101
753,3200,2138
754,3200,2158
755,3200,3006
756,3200,3012
757,3202,3188
758,3203,1138
759,3203,2141
760,3203,2170
761,3203,3096
762,3204,1011
763,3205,1016
764,3208,2016
765,3211,2245
766,3213,1131
767,3215,1027
768,3215,1089
769,3215,1182
770,3215,1215
771,3215,2067
772,3215,2075
773,3215,2143
774,3215,2171
775,3215,2186
776,3215,3113
777,3215,3145
778,3215,3176
779,3215,3180
780,3216,1111
781,3216,1182
782,3216,2067
783,3216,2075
784,3216,2186
785,3216,3113
786,3216,3145
787,3216,3160
788,3218,2154
789,3218,2170
790,3218,3038
791,3218,3096
792,3218,3203
793,3219,1066
794,3219,1077
795,3219,2159
796,3219,2223
797,3219,3183
798,3220,1084
799,3220,1201
800,3220,2211
801,3220,2237
802,3221,1170
803,3221,1201
804,3221,2211
805,3221,3122
806,3222,2167
807,3223,3208
808,3226,1143
809,3226,3033
810,3227,1089
811,3227,2067
812,3227,2075
813,3227,2186
814,3227,3113
815,3227,3145
816,3227,3160
817,3227,3215
818,3230,1041
819,3230,1178
820,3230,2170
821,3230,3017
822,3231,1135
823,3231,2020
824,3231,2090
825,3232,1182
826,3232,1203
827,3232,1215
828,3236,1071
829,3236,2054
830,3236,3136
831,3237,2091
832,3237,2132
833,3237,3052
834,3240,1170
835,3242,1037
836,3242,1132
837,3242,2222
838,3244,1112
839,3245,1109
840,3245,1138
841,3245,1165
842,3248,1033
843,3248,1071
844,3248,3117
845,3251,2159
846,3251,2160
847,3251,2244
848,3251,3136
849,3256,1126
850,3261,1010
851,3261,3100
852,3262,1033
853,3262,1113
854,3262,3184
855,3263,1025
856,3263,1037
857,3263,1132
858,3263,2004
859,3263,2037
860,3263,3242
861,3264,1222
862,3264,2219
863,3269,2072
864,3269,2140
865,3269,2161
866,3269,2190
867,3269,3020
868,3269,3023
869,3269,3045
870,3269,3054
871,3269,3074
872,3269,3076
873,3269,3100
874,3272,2110
875,3273,1216
876,3273,2204
877,3278,1084
878,3278,2117
879,3278,2211
880,3278,2237
881,3278,3031
882,3278,3101
883,3278,3110
884,3278,3124
885,3278,3160
886,3278,3220
887,3280,2016
888,3280,2107
889,3280,3208
890,3285,2009
891,3285,2241
892,3286,2028
893,3286,2056
894,3286,3103
895,3288,4083
896,3289,1179
897,3291,2160
898,3291,3046
899,3296,2243
900,3296,2251
901,3297,2043
902,3298,1037
903,3298,1132
904,3299,1033
905,3299,1126
906,3299,1206
907,3299,2042
908,3299,3117
909,3299,3174
910,3299,3256
911,3299,3269
912,4002,1032
913,4002,1111
914,4002,1203
915,4002,2075
916,4002,2138
917,4002,2186
918,4002,3137
919,4002,3232
920,4003,1056
921,4003,1193
922,4003,1197
923,4003,1206
924,4003,2121
925,4003,2160
926,4003,3136
927,4003,3236
928,4004,3061
929,4004,3118
930,4005,1003
931,4005,1033
932,4005,1107
933,4005,2091
934,4010,4153
935,4011,1213
936,4011,2086
937,4011,2198
938,4012,3138
939,4013,1027
940,4013,1182
941,4013,1215
942,4013,2067
943,4013,2075
944,4013,2158
945,4013,2186
946,4013,3007
947,4013,3113
948,4013,3137
949,4013,3145
950,4013,3160
951,4013,3176
952,4013,3180
953,4013,3215
954,4013,3227
955,4013,4038
956,4014,1033
957,4014,1113
958,4014,2091
959,4014,3300
960,4015,1084
961,4015,2211
962,4015,3220
963,4017,2007
964,4017,2242
965,4019,2007
966,4019,2183
967,4019,2242
968,4019,3131
969,4019,3200
970,4019,3281
971,4021,1197
972,4021,1206
973,4021,3067
974,4022,1033
975,4022,2130
976,4022,3076
977,4024,2236
978,4024,3007
979,4024,3099
980,4026,2093
981,4028,1092
982,4028,2072
983,4028,2091
984,4028,2161
985,4028,2190
986,4028,3020
987,4028,3045
988,4028,3054
989,4028,3076
990,4030,1193
991,4030,2226
992,4030,2230
993,4030,3147
994,4030,3179
995,4032,2007
996,4032,5122
997,4038,1027
998,4038,2067
999,4038,2158
1000,4038,2186
1001,4038,3113
1002,4038,3145
1003,4038,3180
1004,4038,3215
1005,4038,3223
1006,4038,4013
1007,4039,3236
1008,4040,3032
1009,4043,1100
1010,4046,102118
1011,4048,2110
1012,4048,3272
1013,4049,1041
1014,4049,2180
1015,4049,3191
1016,4049,3192
1017,4049,3199
1018,4051,3143
1019,4056,1033
1020,4056,1113
1021,4056,2091
1022,4056,3052
1023,4056,3076
1024,4056,3237
1025,4056,4022
1026,4057,2072
1027,4057,2161
1028,4057,2190
1029,4057,3020
1030,4057,3045
1031,4057,3054
1032,4057,3074
1033,4057,3076
1034,4057,3162
1035,4057,3300
1036,4057,4028
1037,4062,1047
1038,4062,2158
1039,4062,3208
1040,4062,4038
1041,4063,2028
1042,4063,2099
1043,4063,2160
1044,4063,2192
1045,4063,3103
1046,4064,3118
1047,4067,2091
1048,4067,3052
1049,4068,2054
1050,4068,2057
1051,4068,2159
1052,4068,2160
1053,4068,2244
1054,4068,3136
1055,4068,3251
1056,4070,1212
1057,4070,2214
1058,4071,1203
1059,4071,2075
1060,4071,2119
1061,4071,3007
1062,4071,3294
1063,4072,3075
1064,4072,3173
1065,4074,1161
1066,4074,3058
1067,4074,3075
1068,4074,3161
1069,4074,3173
1070,4074,4075
1071,4076,3208
1072,4077,2035
1073,4077,2256
1074,4079,4041
1075,4080,1215
1076,4080,2067
1077,4080,2075
1078,4080,2186
1079,4080,3113
1080,4080,3145
1081,4080,3180
1082,4080,3215
1083,4080,3216
1084,4080,4013
1085,4081,5077
1086,4083,4084
1087,4084,4083
1088,4085,1027
1089,4085,1089
1090,4085,1182
1091,4085,1215
1092,4085,2020
1093,4085,2067
1094,4085,2075
1095,4085,2143
1096,4085,2158
1097,4085,2171
1098,4085,2186
1099,4085,2210
1100,4085,3007
1101,4085,3113
1102,4085,3137
1103,4085,3145
1104,4085,3160
1105,4085,3176
1106,4085,3180
1107,4085,3215
1108,4085,3216
1109,4085,3227
1110,4085,4013
1111,4087,1036
1112,4088,3228
1113,4089,1128
1114,4090,2140
1115,4090,3100
1116,4092,3025
1117,4093,1071
1118,4093,1159
1119,4093,3117
1120,4093,4003
1121,4094,2070
1122,4094,2094
1123,4095,1082
1124,4095,1197
1125,4095,1206
1126,4095,2121
1127,4095,3117
1128,4097,1192
1129,4097,3052
1130,4097,3148
1131,4097,4005
1132,4098,2184
1133,4098,2191
1134,4100,1198
1135,4101,1113
1136,4101,2072
1137,4101,2091
1138,4101,3300
1139,4101,4014
1140,4102,1138
1141,4102,3038
1142,4102,3096
1143,4102,3218
1144,4103,1002
1145,4103,1033
1146,4103,1071
1147,4103,1159
1148,4103,2244
1149,4103,3236
1150,4104,1111
1151,4104,2020
1152,4104,2084
1153,4104,2119
1154,4104,2193
1155,4104,2194
1156,4104,3012
1157,4104,3057
1158,4104,3093
1159,4104,3204
1160,4105,1012
1161,4105,2106
1162,4106,1084
1163,4106,1123
1164,4106,2211
1165,4106,3122
1166,4106,3211
1167,4106,3221
1168,4109,1092
1169,4109,2073
1170,4109,3117
1171,4111,1071
1172,4111,2028
1173,4111,2159
1174,4111,2228
1175,4111,3103
1176,4111,3117
1177,4111,4077
1178,4111,4103
1179,4112,1084
1180,4112,2211
1181,4112,2237
1182,4112,3220
1183,4112,4015
1184,4113,2157
1185,4114,1003
1186,4114,1013
1187,4114,1018
1188,4114,1071
1189,4114,1107
1190,4114,1113
1191,4114,2091
1192,4114,2130
1193,4114,2132
1194,4114,2190
1195,4114,3020
1196,4114,3045
1197,4114,3052
1198,4114,3054
1199,4114,3061
1200,4114,3074
1201,4114,3076
1202,4114,3109
1203,4114,3118
1204,4114,3162
1205,4114,3174
1206,4114,3237
1207,4114,4005
1208,4115,1027
1209,4115,1089
1210,4115,1182
1211,4115,1215
1212,4115,2067
1213,4115,2075
1214,4115,2143
1215,4115,2171
1216,4115,2186
1217,4115,3113
1218,4115,3145
1219,4115,3176
1220,4115,3180
1221,4115,3215
1222,4115,3216
1223,4115,3227
1224,4115,4013
1225,4115,4080
1226,4117,1071
1227,4117,1159
1228,4117,2228
1229,4117,3117
1230,4117,3197
1231,4117,4093
1232,4117,4111
1233,4119,1137
1234,4119,1188
1235,4119,3009
1236,4119,4081
1237,4120,3177
1238,4120,3264
1239,4121,2065
1240,4122,1173
1241,4123,1205
1242,4123,2170
1243,4123,3017
1244,4124,1033
1245,4124,1197
1246,4124,1206
1247,4124,2040
1248,4124,2091
1249,4124,2160
1250,4124,3067
1251,4124,4005
1252,4125,1002
1253,4125,1033
1254,4125,1071
1255,4125,1197
1256,4125,1206
1257,4125,2087
1258,4125,2091
1259,4125,2160
1260,4125,2164
1261,4125,2174
1262,4125,2192
1263,4125,3103
1264,4125,3117
1265,4125,3136
1266,4125,3236
1267,4125,4003
1268,4125,4095
1269,4125,4103
1270,4126,2126
1271,4127,1027
1272,4128,3077
1273,4128,102171
1274,4130,5099
1275,4130,6242
1276,4131,1143
1277,4131,2211
1278,4131,2237
1279,4133,1033
1280,4133,1071
1281,4133,1159
1282,4133,1197
1283,4133,2040
1284,4133,2072
1285,4133,2121
1286,4133,2130
1287,4133,2147
1288,4133,2160
1289,4133,2161
1290,4133,2164
1291,4133,2174
1292,4133,2190
1293,4133,3002
1294,4133,3067
1295,4133,4124
1296,4133,4125
1297,4134,1197
1298,4134,1206
1299,4134,3136
1300,4135,2043
1301,4136,1024
1302,4137,2167
1303,4137,2234
1304,4141,3037
1305,4141,3057
1306,4141,3075
1307,4141,3136
1308,4141,3173
1309,4141,3187
1310,4142,3136
1311,4142,5163
1312,4143,4032
1313,4144,1018
1314,4144,1206
1315,4144,2076
1316,4144,2147
1317,4145,3128
1318,4147,1027
1319,4147,1215
1320,4147,2075
1321,4147,2101
1322,4147,2158
1323,4147,2186
1324,4147,3075
1325,4147,3113
1326,4147,3145
1327,4147,3160
1328,4147,3176
1329,4147,3180
1330,4147,3215
1331,4147,3227
1332,4147,4013
1333,4147,4038
1334,4147,4072
1335,4147,4074
1336,4147,4080
1337,4147,4085
1338,4148,1103
1339,4148,2028
1340,4148,2056
1341,4148,2099
1342,4148,2160
1343,4148,2192
1344,4148,2226
1345,4148,3136
1346,4148,4063
1347,4149,2070
1348,4149,2094
1349,4150,4107
1350,4151,3025
1351,4151,3136
1352,4151,4142
1353,4152,3278
1354,4152,4018
1355,4155,1183
1356,4155,1197
1357,4155,1209
1358,4155,2174
1359,4159,1105
1360,4159,2067
1361,4159,2075
1362,4159,2186
1363,4159,3113
1364,4159,3145
1365,4159,3160
1366,4159,3180
1367,4159,4104
1368,4160,1092
1369,4160,2091
1370,4160,4067
1371,4165,1197
1372,4165,1206
1373,4165,2147
1374,4165,2164
1375,4165,4133
1376,4166,1033
1377,4166,1113
1378,4166,2091
1379,4166,3061
1380,4166,4056
1381,4166,4126
1382,4166,4160
1383,4170,3282
1384,4171,1035
1385,4172,1012
1386,4180,1021
1387,4183,1027
1388,4183,1118
1389,4183,1144
1390,4183,1182
1391,4183,1203
1392,4183,1215
1393,4183,2067
1394,4183,2075
1395,4183,2084
1396,4183,2119
1397,4183,2143
1398,4183,2158
1399,4183,2171
1400,4183,2186
1401,4183,2210
1402,4183,3007
1403,4183,3024
1404,4183,3037
1405,4183,3044
1406,4183,3057
1407,4183,3113
1408,4183,3145
1409,4183,3160
1410,4183,3180
1411,4183,3187
1412,4183,3215
1413,4183,3227
1414,4183,4013
1415,4183,4038
1416,4183,4080
1417,4183,4085
1418,4183,4115
1419,4185,2106
1420,4185,3205
1421,4186,1010
1422,4186,3261
1423,4187,1056
1424,4187,1179
1425,4187,1215
1426,4187,2075
1427,4187,2186
1428,4187,3032
1429,4187,3113
1430,4187,3145
1431,4187,3176
1432,4187,3180
1433,4187,3215
1434,4187,3227
1435,4187,3289
1436,4187,4115
1437,4188,1002
1438,4188,1033
1439,4188,1071
1440,4188,2176
1441,4188,3117
1442,4188,3248
1443,4188,4136
1444,4192,4193
1445,4193,4192
1446,4195,4086
1447,4198,1084
1448,4198,1143
1449,4198,2180
1450,4198,2211
1451,4198,3122
1452,4198,3211
1453,4198,3220
1454,4198,3221
1455,4201,1065
1456,4201,2056
1457,4201,3103
1458,4201,3286
1459,4206,1197
1460,4206,1206
1461,4206,2033
1462,4206,2147
1463,4206,2160
1464,4206,2164
1465,4206,2174
1466,4206,3067
1467,4206,4124
1468,4206,4125
1469,4206,4126
1470,4206,4133
1471,4206,4160
1472,5001,1197
1473,5001,1206
1474,5001,2040
1475,5001,2121
1476,5001,2160
1477,5001,2164
1478,5001,3299
1479,5001,4124
1480,5001,4125
1481,5001,4126
1482,5001,4133
1483,5005,1032
1484,5005,1203
1485,5006,1066
1486,5006,3122
1487,5006,3160
1488,5006,3221
1489,5006,4141
1490,5007,1027
1491,5007,2067
1492,5007,2075
1493,5007,2186
1494,5007,2187
1495,5007,3113
1496,5007,3145
1497,5007,3180
1498,5007,3215
1499,5007,3227
1500,5007,4038
1501,5007,4080
1502,5007,4085
1503,5007,4115
1504,5007,4187
1505,5009,3048
1506,5010,3092
1507,5011,2167
1508,5014,1033
1509,5014,1113
1510,5014,3117
1511,5014,3197
1512,5014,4014
1513,5014,4188
1514,5015,4074
1515,5015,5129
1516,5016,2072
1517,5016,2091
1518,5016,2161
1519,5016,2190
1520,5016,3020
1521,5016,3045
1522,5016,3054
1523,5016,3074
1524,5016,3162
1525,5016,4028
1526,5016,4057
1527,5018,1164
1528,5019,2238
1529,5021,1213
1530,5021,2198
1531,5021,2250
1532,5025,4067
1533,5025,4126
1534,5025,4160
1535,5025,4166
1536,5026,4049
1537,5026,5123
1538,5029,1130
1539,5029,2211
1540,5029,3033
1541,5031,1143
1542,5031,2117
1543,5031,2211
1544,5031,2223
1545,5031,2237
1546,5031,3031
1547,5031,3101
1548,5031,3122
1549,5031,3160
1550,5031,3221
1551,5031,4106
1552,5031,5006
1553,5032,1126
1554,5032,3052
1555,5032,4056
1556,5032,4067
1557,5032,4160
1558,5032,4166
1559,5032,5025
1560,5033,3061
1561,5033,4064
1562,5036,1084
1563,5036,1143
1564,5036,1201
1565,5036,2117
1566,5036,2211
1567,5036,2237
1568,5036,3031
1569,5036,3101
1570,5036,3220
1571,5036,4015
1572,5036,4131
1573,5040,4074
1574,5040,5015
1575,5044,5086
1576,5045,2082
1577,5045,2176
1578,5046,5015
1579,5047,1054
1580,5047,2186
1581,5047,3136
1582,5047,5021
1583,5048,1118
1584,5048,2186
1585,5048,3113
1586,5048,3145
1587,5048,3180
1588,5048,3215
1589,5048,4013
1590,5048,4183
1591,5048,5015
1592,5049,1025
1593,5049,1132
1594,5049,2037
1595,5049,2218
1596,5049,2242
1597,5049,3242
1598,5049,3263
1599,5052,1066
1600,5052,1199
1601,5052,2100
1602,5052,3037
1603,5052,3187
1604,5052,3219
1605,5053,1056
1606,5053,2106
1607,5053,3188
1608,5054,1002
1609,5054,1222
1610,5054,2075
1611,5054,2126
1612,5054,2186
1613,5054,3147
1614,5055,3249
1615,5059,2075
1616,5059,2186
1617,5059,2236
1618,5059,3007
1619,5059,4024
1620,5059,5046
1621,5059,5048
1622,5060,3279
1623,5062,8235
1624,5065,1053
1625,5065,2100
1626,5065,3053
1627,5066,1033
1628,5066,1206
1629,5066,2072
1630,5066,2190
1631,5066,3020
1632,5066,3054
1633,5066,3074
1634,5066,3076
1635,5066,3109
1636,5066,4028
1637,5066,4134
1638,5066,5013
1639,5066,5014
1640,5066,5016
1641,5067,1055
1642,5067,1101
1643,5067,2103
1644,5067,3085
1645,5067,5029
1646,5068,1001
1647,5068,1083
1648,5072,1041
1649,5072,3017
1650,5073,1118
1651,5073,4074
1652,5073,5015
1653,5073,5040
1654,5073,5046
1655,5073,5048
1656,5074,2027
1657,5076,1036
1658,5077,1137
1659,5077,1188
1660,5077,3009
1661,5077,4081
1662,5077,4119
1663,5079,2195
1664,5079,4176
