,author_id,interests
163,163,"{0, 33, 8, 44, 47}"
164,164,"{0, 8, 44}"
165,165,"{0, 1, 33, 8, 44, 45, 47}"
166,166,{8}
167,167,"{0, 8}"
168,168,"{8, 24, 44}"
169,169,"{8, 33}"
170,170,{8}
171,171,"{0, 1, 33, 3, 5, 8, 41, 12, 44, 45, 47, 48}"
172,172,"{8, 12, 44}"
173,173,"{8, 1, 3, 45}"
174,174,"{0, 8, 45, 47}"
175,175,"{0, 1, 33, 8, 45}"
176,176,"{0, 33, 3, 8, 44, 45}"
177,177,"{0, 1, 33, 8, 44, 45}"
178,178,"{0, 8, 45}"
179,179,"{0, 33, 5, 8, 45, 47}"
180,180,"{0, 1, 33, 38, 8, 44, 45, 47, 31}"
181,181,"{8, 47}"
182,182,"{33, 8, 45, 25, 27}"
183,183,"{8, 33, 44}"
184,184,"{0, 8}"
185,185,"{0, 1, 33, 8, 44, 45, 47}"
186,186,"{8, 1, 14, 33}"
187,187,"{0, 1, 8}"
188,188,{8}
189,189,{8}
190,190,"{0, 1, 33, 8, 43, 12, 44, 46, 47, 24, 26}"
191,191,"{8, 43, 44, 46}"
192,192,"{0, 33, 44, 8}"
193,193,"{0, 8, 2, 45}"
194,194,"{0, 33, 8, 43, 14, 31}"
195,195,"{8, 1, 45}"
196,196,"{8, 33, 44, 47}"
197,197,"{0, 1, 34, 33, 8, 42, 44, 45, 47, 18, 26}"
198,198,{8}
199,199,"{8, 33, 3, 45}"
200,200,"{0, 2, 8, 44, 45}"
201,201,"{33, 3, 8, 44, 45, 47}"
202,202,"{8, 44, 5}"
203,203,"{0, 33, 8, 44, 47}"
204,204,"{8, 1}"
205,205,"{0, 33, 8, 44, 47}"
206,206,"{8, 33, 44}"
207,207,"{0, 1, 33, 5, 8, 44, 45, 47, 48}"
208,208,"{0, 33, 3, 8, 44}"
209,209,"{0, 1, 8}"
210,210,"{0, 8, 12, 45}"
211,211,"{0, 3, 8, 45, 14}"
212,212,"{0, 8, 44, 48, 29}"
213,213,"{0, 8, 44, 45, 47, 26}"
214,214,"{8, 1}"
215,215,"{8, 38}"
216,216,"{8, 33, 45}"
217,217,"{8, 44, 45, 14, 47}"
218,218,"{0, 33, 3, 4, 8, 44, 45, 47}"
219,219,"{0, 1, 33, 3, 39, 8, 43, 45, 14, 47}"
220,220,"{8, 3, 44, 45}"
221,221,"{0, 1, 33, 8, 44, 45}"
222,222,"{0, 33, 2, 8, 44}"
223,223,"{8, 2, 44, 45}"
224,224,"{0, 8, 47}"
225,225,{8}
226,226,"{8, 33, 34, 47}"
227,227,"{0, 1, 34, 3, 33, 39, 8, 42, 44, 45, 46, 47, 48, 22, 27, 30}"
228,228,"{0, 33, 2, 3, 8, 44, 45, 47, 24}"
229,229,"{48, 8, 43}"
230,230,"{8, 3, 44}"
231,231,"{8, 2, 45}"
232,232,"{0, 1, 33, 3, 38, 8, 12, 44, 47, 29}"
233,233,"{8, 33, 44, 47}"
234,234,"{8, 0, 26, 43}"
235,235,"{0, 33, 1, 8}"
236,236,"{0, 33, 8, 44, 45, 46, 54}"
237,237,"{0, 1, 33, 8, 44, 31}"
238,238,"{0, 1, 2, 3, 33, 8, 45, 14, 46, 27}"
239,239,"{0, 8}"
240,240,"{0, 1, 33, 8, 44, 45, 48}"
241,241,"{0, 1, 33, 8, 43, 44, 45}"
242,242,"{8, 33, 44, 45}"
243,243,"{0, 8, 45}"
244,244,"{0, 2, 8, 44, 45, 47, 26}"
245,245,"{0, 3, 8, 44, 45}"
246,246,"{0, 33, 8, 44, 45, 47}"
247,247,{8}
248,248,"{1, 33, 8, 47, 24}"
249,249,"{0, 33, 2, 3, 8, 44, 45, 47, 48, 29}"
250,250,"{0, 33, 8, 43, 44, 45, 47}"
251,251,"{8, 33, 47}"
252,252,"{8, 33, 44, 47}"
253,253,"{0, 1, 33, 3, 8, 9}"
254,254,"{8, 2, 44, 45}"
255,255,"{0, 1, 33, 3, 8, 45, 27}"
256,256,"{8, 33, 44}"
257,257,"{8, 33, 44, 45}"
258,258,"{48, 8, 45}"
259,259,"{33, 2, 7, 8, 45}"
260,260,"{0, 33, 2, 3, 8, 43, 44, 45}"
261,261,"{0, 33, 8, 44, 45, 47, 26}"
262,262,"{0, 33, 1, 8}"
263,263,"{0, 33, 8}"
264,264,"{8, 45}"
265,265,"{33, 8, 44, 45, 47}"
266,266,"{33, 3, 8, 44, 45, 47}"
267,267,"{0, 8, 44, 45}"
268,268,"{0, 1, 33, 8, 44, 45, 46, 23, 27}"
269,269,"{0, 1, 3, 8, 44, 45}"
270,270,"{0, 33, 38, 8, 44, 45, 14, 47}"
271,271,{8}
272,272,"{8, 43, 44, 45, 47}"
273,273,"{0, 1, 33, 3, 8, 44, 45, 26}"
274,274,{8}
275,275,"{0, 1, 8, 46, 27}"
276,276,"{8, 3, 44, 47}"
277,277,"{0, 1, 33, 3, 8, 43, 45}"
278,278,"{0, 1, 33, 8, 43, 45, 47}"
279,279,"{33, 3, 8, 44, 14}"
280,280,"{8, 44}"
281,281,"{33, 8, 43, 44, 24}"
282,282,"{0, 8, 45}"
283,283,{8}
284,284,"{8, 44, 45}"
285,285,"{0, 8}"
286,286,"{8, 33, 44, 45}"
287,287,{8}
288,288,"{0, 1, 33, 8, 43, 44, 45, 48}"
289,289,"{33, 8, 43, 45, 46, 47, 21, 25}"
290,290,"{8, 33, 44, 45}"
291,291,"{0, 33, 8, 44, 45}"
292,292,{8}
293,293,"{0, 1, 8, 12, 44, 46, 47, 26}"
294,294,"{0, 1, 45, 8}"
295,295,"{8, 3}"
296,296,{8}
297,297,"{0, 33, 42, 8}"
298,298,"{0, 3, 8, 44, 45}"
299,299,"{33, 8, 44, 47, 48}"
300,300,"{0, 33, 8, 44, 47}"
301,301,"{0, 1, 2, 8, 44, 45}"
302,302,"{8, 45}"
303,303,"{8, 44, 45}"
304,304,"{8, 1, 44}"
305,305,"{0, 33, 8}"
306,306,{8}
307,307,"{0, 33, 44, 8}"
308,308,"{0, 3, 8, 42, 12, 44, 14, 45}"
309,309,"{8, 43}"
310,310,{8}
311,311,"{8, 33, 45}"
312,312,"{0, 8}"
313,313,{8}
314,314,"{8, 33, 45}"
315,315,"{0, 8, 44}"
316,316,"{0, 33, 2, 3, 8, 45, 14, 47, 17}"
317,317,"{0, 33, 34, 8, 42, 12, 45, 44}"
318,318,"{8, 45, 14}"
319,319,"{0, 33, 8}"
320,320,"{0, 33, 8, 42, 44, 45, 47}"
321,321,"{8, 33, 44, 45}"
322,322,"{0, 33, 44, 8}"
323,323,"{0, 1, 2, 3, 33, 8, 44, 45, 47, 24}"
324,324,"{8, 33, 43}"
325,325,"{0, 33, 8, 44, 48, 24}"
326,326,"{0, 1, 3, 8, 44, 45}"
327,327,"{0, 33, 3, 8, 44, 17, 27}"
328,328,"{0, 1, 8, 45, 47}"
329,329,"{0, 1, 33, 8, 42, 44, 45, 47, 24}"
330,330,"{0, 33, 8, 44, 45}"
331,331,"{8, 33, 45}"
332,332,"{0, 33, 8}"
333,333,"{0, 1, 33, 8, 43, 45}"
334,334,"{8, 33, 44, 45}"
335,335,"{8, 12, 44, 46, 47, 22}"
336,336,"{48, 1, 29, 8}"
337,337,"{0, 1, 3, 8, 12, 44, 45}"
338,338,"{8, 33, 44, 47}"
339,339,"{1, 33, 5, 8, 45}"
340,340,"{0, 33, 3, 8, 44, 45}"
341,341,"{8, 44, 45}"
342,342,"{8, 12}"
343,343,{8}
344,344,"{8, 43}"
345,345,"{8, 45, 47}"
346,346,"{1, 33, 3, 8, 45}"
347,347,"{0, 33, 1, 8}"
348,348,"{8, 33, 44, 45}"
349,349,"{0, 33, 8}"
350,350,"{8, 33, 44, 47}"
351,351,"{0, 33, 3, 8, 44, 47}"
352,352,{8}
353,353,"{0, 8, 44, 45}"
354,354,"{0, 33, 8, 44, 24}"
355,355,"{0, 1, 44, 8}"
356,356,"{1, 33, 39, 8, 44}"
357,357,"{0, 33, 8}"
358,358,"{0, 3, 8, 44, 14}"
359,359,"{8, 45}"
360,360,"{8, 41, 43, 45}"
361,361,"{0, 33, 8, 44, 45}"
362,362,"{0, 1, 3, 8, 45, 48}"
363,363,{8}
364,364,"{0, 8, 42}"
365,365,"{0, 1, 8, 44, 45, 47}"
366,366,"{0, 8, 3, 45}"
367,367,"{0, 33, 44, 8}"
368,368,"{0, 1, 33, 3, 4, 8, 43, 44, 45, 47, 48, 24}"
369,369,"{8, 33, 44, 45}"
370,370,"{33, 8, 45, 47, 48}"
371,371,"{0, 1, 44, 8}"
372,372,"{33, 8, 43, 44, 47}"
373,373,"{0, 1, 33, 8, 44, 45, 47, 27}"
374,374,"{0, 8, 44}"
375,375,"{0, 33, 46, 8}"
376,376,"{0, 8, 3}"
377,377,"{0, 33, 3, 8, 45, 29}"
378,378,"{0, 1, 33, 38, 8, 44, 45, 46, 47}"
379,379,"{0, 33, 45, 8}"
380,380,"{8, 1}"
381,381,"{0, 1, 8, 47}"
382,382,"{8, 33, 47}"
383,383,"{0, 33, 8, 44, 45}"
384,384,{8}
385,385,"{0, 1, 2, 3, 33, 8, 44, 45, 14, 46, 27, 31}"
386,386,"{0, 1, 33, 3, 8, 44, 45, 47}"
387,387,"{0, 1, 33, 3, 8, 43, 44, 45, 14, 15, 46, 47, 48, 24, 27}"
388,388,"{0, 1, 33, 8, 44, 45, 46, 47, 26}"
389,389,"{0, 8, 47}"
390,390,"{0, 8, 44, 45, 47, 24}"
391,391,"{0, 1, 33, 8, 44, 45}"
392,392,"{0, 33, 3, 5, 38, 8, 44, 45}"
393,393,"{0, 1, 33, 8, 44, 45, 46, 54}"
394,394,"{0, 33, 5, 8, 45, 46, 17, 23}"
395,395,"{8, 1, 44}"
396,396,"{0, 33, 44, 8}"
397,397,"{0, 33, 8}"
398,398,"{0, 33, 2, 3, 8, 31}"
399,399,"{0, 1, 33, 8, 44, 46}"
400,400,"{0, 33, 8}"
401,401,"{0, 33, 3, 8, 44}"
402,402,"{0, 1, 33, 8, 11, 12, 45, 44}"
403,403,"{8, 1, 44, 46}"
404,404,"{1, 33, 8, 44, 45}"
405,405,"{0, 33, 8, 44, 47, 48, 24}"
406,406,"{8, 33, 44, 45}"
407,407,"{8, 33, 44, 45}"
408,408,"{0, 1, 33, 8, 11, 12, 45, 44, 47, 48, 26}"
409,409,"{0, 1, 33, 8, 44, 45, 47}"
410,410,"{8, 33}"
411,411,"{8, 44}"
412,412,"{32, 33, 8, 44, 46, 47}"
413,413,"{0, 1, 33, 3, 5, 38, 8, 44, 45, 46}"
414,414,"{8, 33}"
415,415,"{0, 33, 8, 44, 45}"
416,416,"{0, 8, 44}"
417,417,"{0, 33, 34, 8, 44, 45, 14, 47, 26}"
418,418,"{0, 8, 44}"
419,419,"{0, 1, 2, 3, 33, 5, 8, 44, 45}"
420,420,"{0, 1, 33, 8, 44}"
421,421,"{0, 33, 3, 8, 44, 47}"
422,422,"{0, 1, 2, 3, 33, 5, 8, 44, 45, 47, 48, 24}"
423,423,"{33, 6, 8, 43, 45}"
424,424,"{0, 33, 8, 44, 45, 47, 48, 24, 29}"
425,425,"{0, 33, 8, 41, 45}"
426,426,"{0, 1, 33, 8, 45, 27}"
427,427,"{8, 3, 44, 45}"
428,428,"{0, 33, 8, 44, 47}"
429,429,"{0, 8, 2, 44}"
430,430,"{0, 8, 45}"
431,431,"{0, 33, 8, 44, 45, 14, 47, 48, 26}"
432,432,{8}
433,433,"{0, 33, 32, 3, 8, 45}"
434,434,"{8, 33, 45}"
435,435,"{0, 8, 3}"
436,436,"{33, 8, 43, 44, 45}"
437,437,"{8, 44}"
438,438,"{33, 35, 8, 43, 13}"
439,439,"{8, 45, 38}"
440,440,"{0, 33, 1, 8}"
441,441,"{0, 1, 8, 44, 45}"
442,442,"{0, 33, 35, 5, 38, 8, 43, 11, 45, 47}"
443,443,"{0, 1, 33, 8, 43, 45, 47, 25}"
444,444,"{0, 1, 8}"
445,445,"{8, 44}"
446,446,"{0, 8, 44, 47}"
447,447,"{8, 0, 43, 33}"
448,448,"{0, 1, 33, 8, 44, 45, 47}"
449,449,"{0, 33, 3, 5, 8, 42, 44, 45, 47, 48, 24, 26}"
450,450,"{0, 1, 3, 8, 9, 45, 51, 22}"
451,451,"{8, 33, 44}"
452,452,"{0, 33, 8}"
453,453,"{8, 3, 44}"
454,454,"{8, 1, 45}"
455,455,"{8, 33, 3, 1}"
456,456,"{0, 8}"
457,457,"{0, 33, 8, 44, 45}"
458,458,"{0, 33, 1, 8}"
459,459,"{0, 1, 33, 3, 8, 11, 44, 45, 47, 26}"
460,460,"{0, 33, 3, 8, 43, 44, 45, 14, 15, 27}"
461,461,"{8, 33, 44}"
462,462,"{8, 44, 45}"
463,463,"{0, 1, 33, 3, 8, 44, 45, 47}"
464,464,"{0, 1, 33, 3, 8, 44, 14, 46, 27}"
465,465,"{0, 33, 8, 44, 45, 47}"
466,466,"{8, 33}"
467,467,"{0, 33, 8, 44, 45, 47}"
468,468,"{8, 33, 44, 6}"
469,469,"{0, 1, 32, 3, 33, 8, 44, 45, 14, 46, 47, 48, 26}"
470,470,"{0, 33, 8, 44, 47}"
471,471,"{0, 33, 3, 8, 27}"
472,472,"{8, 33, 47}"
473,473,"{0, 1, 3, 8, 44, 45}"
474,474,"{8, 0, 7}"
475,475,"{8, 33, 45, 47}"
476,476,"{0, 3, 8, 44, 45, 27}"
477,477,"{8, 3, 44, 45}"
478,478,"{8, 33, 44}"
479,479,"{0, 33, 8, 45, 15}"
480,480,"{0, 33, 8, 44, 45, 47, 48}"
481,481,"{0, 8, 45}"
482,482,"{0, 33, 8, 42, 44, 14, 47, 48, 26}"
483,483,"{0, 8, 45}"
484,484,"{8, 43}"
485,485,"{8, 33}"
486,486,"{0, 1, 3, 8}"
487,487,"{0, 2, 8, 44, 45, 14, 47}"
488,488,"{0, 8, 3, 44}"
489,489,"{0, 33, 3, 8, 44, 45, 46}"
490,490,"{8, 44, 45, 47}"
491,491,"{33, 3, 38, 7, 8, 39, 11, 44, 46, 20, 30}"
492,492,"{0, 33, 3, 8, 44}"
493,493,"{0, 8, 27}"
494,494,"{0, 1, 33, 8, 44}"
495,495,"{0, 33, 44, 8}"
496,496,"{0, 1, 33, 8, 44, 45, 24}"
497,497,"{0, 8}"
498,498,"{8, 1, 44, 45}"
499,499,"{8, 33, 45, 47}"
500,500,"{8, 3}"
501,501,"{0, 4, 8, 44, 45}"
502,502,"{0, 1, 33, 3, 8, 12, 44, 45, 46}"
503,503,"{8, 45}"
504,504,"{0, 33, 3, 8, 42, 44, 45, 47, 26, 27}"
505,505,"{48, 8, 44, 14}"
506,506,"{0, 8, 44, 47}"
507,507,"{0, 1, 33, 3, 8, 44}"
508,508,"{0, 8}"
509,509,"{8, 33, 44}"
510,510,"{8, 44}"
511,511,"{33, 8, 44, 45, 24}"
512,512,"{0, 8, 45}"
513,513,"{0, 33, 3, 8}"
514,514,"{0, 33, 8, 43, 44, 45, 47, 24}"
515,515,"{0, 8, 12, 45, 48}"
516,516,"{0, 33, 8}"
517,517,"{0, 8, 43, 44, 48}"
518,518,"{8, 44, 45}"
519,519,"{8, 44}"
520,520,"{8, 0, 43, 47}"
521,521,"{8, 33, 43}"
522,522,"{8, 33, 45}"
523,523,"{8, 44, 45}"
524,524,"{8, 33}"
525,525,"{0, 8}"
526,526,"{8, 33, 44}"
527,527,{8}
528,528,"{0, 1, 33, 8, 44, 47}"
529,529,"{0, 33, 5, 8, 44, 46, 47}"
530,530,"{0, 33, 8, 44, 45, 47}"
531,531,"{8, 33, 45, 1}"
532,532,"{0, 8, 44, 46, 52}"
533,533,"{0, 33, 3, 8, 44, 45, 47, 31}"
534,534,"{33, 3, 8, 45, 47}"
535,535,"{0, 33, 8, 44, 47}"
536,536,"{0, 1, 33, 8, 44, 47}"
537,537,{8}
538,538,"{8, 33, 3}"
539,539,"{8, 33}"
540,540,"{8, 3}"
541,541,"{0, 33, 8, 43, 44}"
542,542,"{0, 8, 44, 45, 47, 26}"
543,543,"{0, 33, 3, 8, 48}"
544,544,"{0, 8, 44, 45}"
545,545,"{8, 33}"
546,546,"{0, 1, 8, 44, 47, 26}"
547,547,"{0, 8, 44, 14}"
548,548,"{0, 3, 8, 44, 45, 47, 26}"
549,549,"{0, 33, 3, 8, 44, 45}"
550,550,"{0, 8, 44, 47}"
551,551,"{0, 1, 33, 8, 44, 45, 14, 47, 26}"
552,552,"{0, 8, 44}"
553,553,"{0, 33, 8, 45, 25}"
554,554,"{8, 44, 45, 47}"
555,555,"{0, 33, 45, 8}"
556,556,"{8, 33, 44}"
557,557,"{8, 3}"
558,558,"{8, 1}"
559,559,"{8, 33, 44, 46}"
560,560,"{8, 44}"
561,561,"{8, 0, 11, 44}"
562,562,"{48, 33, 45, 8}"
563,563,"{0, 33, 3, 8}"
564,564,"{0, 1, 33, 3, 8, 43, 44, 45, 47}"
565,565,"{8, 44}"
566,566,{8}
567,567,"{0, 1, 33, 8, 42, 44, 45, 47}"
568,568,"{0, 1, 34, 8, 44, 45}"
569,569,"{8, 33}"
570,570,{8}
571,571,"{8, 44, 5, 46}"
572,572,"{0, 33, 8}"
573,573,"{0, 8, 45}"
574,574,"{0, 33, 2, 3, 5, 38, 8, 43, 44, 45, 46, 47, 11}"
575,575,{8}
576,576,"{8, 33, 45}"
577,577,"{8, 33, 44, 45}"
578,578,"{0, 33, 8}"
579,579,"{0, 33, 8, 44, 45}"
580,580,"{8, 9, 47, 33}"
581,581,"{0, 33, 44, 8}"
582,582,"{0, 1, 33, 3, 8, 44, 45, 14, 47, 24, 27, 28}"
583,583,"{8, 33, 3}"
584,584,"{0, 1, 32, 33, 34, 8, 44, 13, 45, 46, 47, 27}"
585,585,"{0, 1, 33, 3, 8, 44, 45}"
586,586,"{0, 33, 3, 8, 44}"
587,587,"{8, 44}"
588,588,"{0, 8, 44, 47}"
589,589,"{0, 8, 45}"
590,590,"{33, 3, 8, 44, 45, 27}"
591,591,"{8, 43, 3}"
592,592,{8}
593,593,"{8, 24, 44}"
594,594,"{0, 1, 33, 8, 44, 45, 47}"
595,595,"{8, 33, 44, 45}"
596,596,"{8, 33}"
597,597,"{0, 33, 8}"
598,598,"{0, 1, 33, 8, 44, 47}"
599,599,"{0, 33, 8, 12, 46, 47, 27}"
600,600,"{8, 33, 3, 44}"
601,601,{8}
602,602,"{8, 45, 47}"
603,603,"{8, 33, 27, 14}"
604,604,"{0, 33, 8, 44, 45}"
605,605,"{0, 33, 5, 8, 44, 45}"
606,606,"{8, 44, 47}"
607,607,"{0, 1, 33, 8, 44}"
608,608,"{0, 1, 33, 8, 45}"
609,609,"{0, 8, 42, 46, 18, 27}"
610,610,{8}
611,611,"{0, 8, 44}"
612,612,{8}
613,613,"{0, 1, 33, 3, 8, 43, 45, 14}"
614,614,"{0, 1, 8, 43, 46}"
615,615,"{0, 33, 3, 8, 44, 45, 47, 25, 26}"
616,616,"{0, 1, 33, 3, 8, 44, 45, 47}"
617,617,{8}
618,618,"{8, 33, 44, 45}"
619,619,"{0, 33, 8, 45, 47}"
620,620,"{0, 1, 33, 3, 8, 44, 45, 47, 26}"
621,621,"{0, 33, 44, 8}"
622,622,"{8, 33, 45}"
623,623,"{0, 1, 33, 8, 44, 45}"
624,624,"{0, 1, 33, 8, 43, 44, 45, 47, 49}"
625,625,"{0, 1, 3, 8, 45, 46, 27}"
626,626,"{0, 33, 45, 8}"
627,627,"{33, 8, 44, 45, 47}"
628,628,"{0, 1, 33, 8, 44, 47, 24, 26}"
629,629,"{0, 8, 44, 45}"
630,630,"{0, 1, 3, 8, 44, 45}"
631,631,"{0, 8, 43, 45, 47}"
632,632,"{0, 33, 3, 8, 45, 29}"
633,633,"{0, 33, 2, 3, 8, 44, 45, 46}"
634,634,"{0, 1, 33, 3, 8, 44, 45, 48, 29}"
635,635,"{0, 1, 33, 8, 44, 47}"
636,636,"{8, 33, 44, 47}"
637,637,"{0, 1, 33, 8, 44}"
638,638,{8}
639,639,"{0, 8, 3, 45}"
640,640,"{0, 33, 3, 8, 44, 45}"
641,641,"{0, 33, 8, 44, 47}"
642,642,"{8, 45}"
643,643,"{8, 1, 3, 44}"
644,644,"{0, 8, 3}"
645,645,"{0, 8}"
646,646,"{0, 33, 1, 8}"
647,647,"{0, 1, 33, 3, 8, 44, 45, 46, 47}"
648,648,"{0, 8, 44}"
649,649,{8}
650,650,"{0, 33, 8, 44, 47}"
651,651,"{0, 1, 3, 8, 14}"
652,652,"{8, 45}"
653,653,"{8, 33, 24, 47}"
654,654,"{0, 8, 44}"
655,655,"{8, 33}"
656,656,"{0, 1, 8}"
657,657,"{0, 1, 8, 42, 44, 45, 13, 17, 52}"
658,658,"{0, 1, 45, 8}"
659,659,"{8, 33, 44}"
660,660,"{8, 33, 44, 45}"
661,661,"{0, 1, 33, 3, 8}"
662,662,"{0, 8, 45}"
663,663,"{8, 33}"
664,664,"{8, 1, 45}"
