,from_id,to_id,article_ids
73,12526,7181,{9304113}
74,4627,1314,"{9803008, 9906097, 9611211, 9712076}"
75,3804,12368,{201033}
76,11007,10003,{9905067}
77,5602,5243,{303095}
78,2572,8636,{9705147}
79,12464,11933,"{9704084, 9801055}"
80,3626,7575,"{9909125, 109063, 103177, 3085, 211234, 10023, 203175, 12078, 11192, 103103, 105024, 202176, 104259, 206152, 209228, 205144, 9906031, 212082, 9077}"
81,5462,9631,"{9910040, 8211, 11092, 6037}"
82,10878,79,"{207209, 212048, 8146, 210261, 106167}"
83,8038,8473,"{206122, 209165, 211187, 110102, 205178}"
84,3036,10789,"{9611057, 9501010, 9910078}"
85,1074,5424,{105293}
86,1074,6386,"{12129, 105293}"
87,1074,4036,"{12129, 105293}"
88,1074,10014,"{12129, 105293}"
89,5424,6386,{105293}
90,5424,4036,{105293}
91,5424,10014,{105293}
92,6386,4036,"{12129, 203163, 105293}"
93,6386,10014,"{12129, 105293}"
94,4036,10014,"{12129, 105293, 207119, 6068, 110070, 304188, 4126}"
95,12364,8339,{202196}
96,8190,1751,"{9604017, 9809037}"
97,3766,11157,"{107235, 107237, 112017, 8243, 102068, 8244}"
98,3766,2821,"{107235, 107237, 112017, 8243, 102068, 8244}"
99,11157,2821,"{107235, 107237, 112017, 8243, 102068, 8244}"
100,6649,10369,"{9312089, 9312090, 9312091, 9307118}"
101,6649,9264,"{9312090, 9312091, 9307118}"
102,10369,9264,"{9312090, 9312091, 9307118}"
103,6031,4714,"{9304093, 9304094}"
104,5487,5374,"{9810212, 9610087, 3111, 9609002, 9607220, 9711064, 101053}"
105,4076,4562,{211219}
106,4076,3520,{211219}
107,4562,3520,{211219}
108,12176,11987,{9607147}
109,12176,12002,"{9607147, 9601039}"
110,11987,12002,"{9607147, 9706222}"
111,12613,4036,"{9701057, 9607138, 9609027, 9607137, 9605221, 9803141, 9710149, 9809147, 9310160, 9704113, 9512156, 9610106, 9512155, 9804092, 9806143}"
112,8549,10066,"{208192, 304223}"
113,8549,5346,{304223}
114,8549,11208,"{9702112, 9810130, 208192, 304223}"
115,10066,5346,{304223}
116,10066,11208,"{9712096, 208192, 304223}"
117,5346,11208,{304223}
118,2194,8224,"{9902177, 9909156, 9806153, 9812112, 9809018}"
119,10832,1115,"{9505123, 5219, 5220, 9304135, 9411183, 9506075, 9210076}"
120,1772,7112,"{9308012, 9510102, 9912014}"
121,9848,1838,{9803032}
122,9848,4565,{9803032}
123,1838,4565,{9803032}
124,2955,7071,"{9202079, 9202063, 9202054, 9203079}"
125,2955,8595,"{9202079, 9202054, 9203079}"
126,7071,8595,"{9202079, 9202054, 9203079}"
127,5904,12796,"{9808002, 9806213, 9704199, 9605132, 9911193, 9610031, 9812016, 204083, 9904056, 303034, 1211, 9804095, 9801152, 9910083, 302148, 9708099, 9803080, 9902156, 9903054, 9907024, 1107, 9612249, 9607001, 9803227, 104159, 9912288, 101091, 9603044, 9908092, 9510122, 9510124, 9510125, 9510127, 9911031, 9805050, 9701116}"
128,1676,11763,{211241}
129,1676,11694,{211241}
130,11763,11694,{211241}
131,4372,11902,"{302180, 9906154, 9711115, 3083, 9802063, 9812175, 107250, 9807188, 103066, 210203, 12220}"
132,4372,4358,"{302180, 9906154, 9711115, 3083, 9802063, 9812175, 107250, 9807188, 103066, 210203, 12220}"
133,11902,4358,"{302180, 9906154, 9711115, 3083, 9802063, 9812175, 107250, 9807188, 103066, 210203, 12220}"
134,9383,6064,"{9604134, 9610252, 9506066, 9511064, 9408089, 9609084}"
135,6818,12368,"{9605186, 9509062, 2247, 101032, 9603174, 10029, 9609133, 103091, 9411162, 201046, 206039, 110138, 9811003, 9805020}"
136,2001,3628,"{211035, 6172, 11181, 8238}"
137,11795,9503,{108163}
138,11795,7865,{108163}
139,11795,5992,{108163}
140,9503,7865,{108163}
141,9503,5992,{108163}
142,7865,5992,"{108163, 111171, 202194, 204216, 105018}"
143,10357,5877,"{303245, 301102}"
144,9110,5823,"{7234, 101028, 9904013, 103111}"
145,9415,1572,{9801131}
146,9415,6264,{9801131}
147,1572,6264,"{9711121, 9801131}"
148,62,12899,"{112108, 9812150}"
149,3122,5451,{9603076}
150,5190,11389,"{12225, 6246, 1032, 106110, 5005, 102129, 206101, 104153, 205214}"
151,1660,5904,"{9801152, 9708099, 9701116, 9603044, 9704199, 9510122, 9510124, 9510125, 9605132, 9610031, 9812016, 9510127, 9907024, 9607001, 9612249, 9908092}"
152,1660,12796,"{9704199, 9605132, 304033, 9610031, 9812016, 9801152, 9708099, 9907024, 103001, 9607001, 9612249, 9603044, 9908092, 9510122, 9510124, 9510125, 9510127, 9510128, 9701116}"
153,3798,9340,{9806067}
154,3798,1588,{9806067}
155,9340,1588,"{9806067, 302035}"
156,12753,3045,"{110080, 9807169, 203106, 212288, 302212, 110053, 209094, 202054, 10152, 106227, 206004, 211066, 210236, 304026}"
157,12753,6047,"{10152, 212288}"
158,3045,6047,"{10152, 212288}"
159,3937,12286,"{9602065, 9703041, 9611174, 9603078}"
160,3937,1296,"{9602065, 9603078}"
161,3937,11692,"{9602065, 9603078}"
162,3937,2389,{9602065}
163,3937,4606,{9602065}
164,3937,6768,{9602065}
165,12286,1296,"{9602065, 9603078}"
166,12286,11692,"{9602065, 9603078}"
167,12286,2389,{9602065}
168,12286,4606,{9602065}
169,12286,6768,{9602065}
170,1296,11692,"{9602065, 9603078}"
171,1296,2389,{9602065}
172,1296,4606,{9602065}
173,1296,6768,{9602065}
174,11692,2389,{9602065}
175,11692,4606,{9602065}
176,11692,6768,{9602065}
177,2389,4606,{9602065}
178,2389,6768,{9602065}
179,4606,6768,{9602065}
180,8445,7872,"{9810111, 9810054, 9809042, 9809011, 9809014, 9910104, 9910239}"
181,11951,8350,{9610227}
182,11182,10159,"{9407132, 9405142}"
183,7171,6042,{207213}
184,9188,3795,"{9605019, 9509059, 9506179, 9605021}"
185,4453,6621,"{201263, 11263}"
186,1739,7375,{9610185}
187,4960,11113,{9808083}
188,4960,2918,{9808083}
189,4960,4041,{9808083}
190,11113,2918,{9808083}
191,11113,4041,{9808083}
192,2918,4041,"{9612184, 9808083}"
193,2530,1602,{9212105}
194,4209,8373,{9407054}
195,4209,7307,{9407054}
196,8373,7307,{9407054}
197,6261,10236,"{101122, 9910115, 6088, 9903113, 9812139, 9809039, 9712084, 1083, 9708062}"
198,11666,9359,"{110210, 104197}"
199,11666,253,"{110210, 104197, 303126}"
200,9359,253,"{110210, 104197}"
201,933,5852,{202173}
202,2263,11192,{9406099}
203,6618,8716,"{9903106, 9809155, 9612068, 9903141, 9707237, 9507016, 9410131, 9702004, 9702069, 3127, 9702071, 9705049, 9609083, 9701180, 9707227, 9902175}"
204,6618,3314,"{9406080, 9707237, 9507016, 9410220, 9410131, 9512020, 9702004, 9702069, 9702071, 9404121, 9707227, 105278}"
205,8716,3314,"{9707237, 9507016, 9410131, 9702004, 9702069, 9702071, 9707227}"
206,1969,11065,"{9603097, 9605042, 9607105}"
207,7604,5092,{9408127}
208,7604,2805,{9408127}
209,5092,2805,{9408127}
210,5126,866,"{106052, 9802086, 11208, 9912202, 9410190, 201071, 3027, 209055}"
211,10318,6296,"{9304032, 9310145}"
212,10318,9498,"{9304032, 9310145, 9912091}"
213,6296,9498,"{9304032, 9310145, 9201062}"
214,10170,2619,"{9904199, 9811212, 12144, 208021, 1110, 8086, 9806110}"
215,3819,12827,{9412018}
216,6947,9399,{9601052}
217,11596,5374,"{9609002, 9607220, 9610087}"
218,11596,5487,"{9609002, 9607220, 9610087}"
219,11596,8614,"{9609002, 9607220, 9610087}"
220,5374,8614,"{9810212, 9610087, 9609002, 9607220, 9711064}"
221,5487,8614,"{9810212, 9610087, 9904137, 9609002, 9703019, 9605067, 9802192, 9607220, 9611221, 9810230, 9611220, 9711064, 9612186, 9605213}"
222,11799,2394,"{9904038, 202185, 9607068, 104267, 9910254, 111023, 9507132, 2015}"
223,908,1553,"{9810152, 9903094}"
224,908,1533,"{9810152, 9811130, 9903094}"
225,908,12713,"{9810152, 9804010, 9710250, 9607089, 9811130}"
226,1553,1533,"{9810152, 9903094}"
227,1553,12713,{9810152}
228,1533,12713,"{9810152, 9811130}"
229,448,7172,"{9610057, 9607037}"
230,448,9676,"{9610057, 9607037}"
231,7172,9676,"{9710179, 112104, 9610057, 9612251, 9607037, 9811006}"
232,7312,2288,"{3124, 9906109, 7158}"
233,12900,4052,"{9605089, 9502045, 9605166}"
234,12900,7980,"{9605089, 9502045}"
235,12900,8911,"{9605089, 9502045}"
236,4052,7980,"{9605089, 9502045}"
237,4052,8911,"{9605089, 9502045}"
238,7980,8911,"{9605089, 9502045}"
239,3262,5525,"{9605184, 9510169}"
240,12150,11000,{203154}
241,12150,8533,"{203154, 211010}"
242,11000,8533,"{203154, 7037}"
243,3107,4136,"{9612240, 9609065, 9609066, 9705166}"
244,2760,1859,"{9503169, 9412241}"
245,2760,3483,"{9503169, 9412241}"
246,1859,3483,"{9503169, 9412241}"
247,2929,3936,{5096}
248,816,10714,"{9707008, 9604038, 9803185, 9902163, 9605206, 9803256}"
249,3156,5837,"{9707168, 9604194, 9707138, 9802059, 6220, 9603021, 9601006, 6221, 10288, 9606132, 9604182, 9609178, 9610075, 9803036}"
250,12223,1360,"{9703139, 9510037}"
251,12223,7821,"{9703139, 9510037}"
252,1360,7821,"{9703139, 9907176, 9502059, 9808044, 9803250, 9510037}"
253,8468,12833,"{9306089, 9211114, 9404141, 9309022, 9405023}"
254,12492,2626,{9410185}
255,10299,8636,"{202091, 303044, 208197, 2111}"
256,8767,10204,"{208141, 303135}"
257,11967,7844,"{5002, 303051, 304254}"
258,5862,3512,"{211145, 107188, 110156, 9910108}"
259,1115,7558,"{9304135, 9204041, 9404109, 9611188, 9405175, 9607032, 9210076}"
260,1115,355,"{9607032, 9611188}"
261,1115,11114,"{9807136, 9903041, 9611014, 9612202, 106186, 9707087, 9811251, 9611188, 9607032, 9905143, 9804056, 9803039}"
262,7558,355,"{9607032, 9611188}"
263,7558,11114,"{9607032, 9611188}"
264,355,11114,"{9607032, 9611188}"
265,5954,5808,"{104244, 9231}"
266,9600,10488,"{9804133, 9912041, 9909066, 9901165, 9705009, 9702135}"
267,5197,6269,{9504096}
268,12761,10209,"{201251, 111122, 9712087, 106044, 9606141, 206014, 210143}"
269,10998,8220,{304107}
270,10998,2275,{304107}
271,10998,10406,{304107}
272,8220,2275,{304107}
273,8220,10406,{304107}
274,2275,10406,{304107}
275,370,4692,"{6249, 110003, 206246}"
276,370,472,"{6249, 9909133, 9512193}"
277,4692,472,{6249}
278,10661,10875,"{9408040, 9406067}"
279,1009,7692,"{106019, 111268, 9602087, 9507017, 9803018, 9501066, 9211021, 9602096, 9502130, 9604084, 9309023, 9607126, 207130, 9209052, 9611039}"
280,8656,4153,"{9306157, 9305037}"
281,1251,11172,"{9203048, 9201002, 9204054}"
282,1251,11728,"{9312129, 9203048, 9201002, 9311114, 9204054, 9409048}"
283,1251,9147,"{9312129, 9203048, 9201002, 9311114, 9204054, 9409048}"
284,1251,6885,"{9312129, 9203048, 9201002, 9311114, 9204054, 9409048}"
285,11172,11728,"{9203048, 9201002, 9204054}"
286,11172,9147,"{9203048, 9201002, 9204054}"
287,11172,6885,"{9203048, 9201002, 9204054}"
288,11728,9147,"{9312129, 9203048, 9201002, 9311114, 9204054, 9409048}"
289,11728,6885,"{9312129, 9203048, 9201002, 9311114, 9204054, 9409048}"
290,9147,6885,"{9312129, 9203048, 9201002, 9311114, 9204054, 9409048}"
291,4418,12613,"{9901032, 9807140, 9709093}"
292,4425,3165,"{9609032, 9609033}"
293,12431,10096,{9309018}
294,12431,9357,{9309018}
295,10096,9357,{9309018}
296,8619,7025,{9206035}
297,12761,11856,"{9403010, 211119, 4084, 3130, 210143}"
298,10090,4009,"{9912016, 9901164, 9712182}"
299,10090,10499,{9901164}
300,4009,10499,"{209186, 106213, 12200, 9901164, 108118, 9144, 109209, 9912154, 204155, 103196}"
301,4103,8029,"{9811237, 3110, 9908040, 9912079, 3187, 9712186}"
302,7276,3611,{9119}
303,7276,10728,{9119}
304,7276,10850,{9119}
305,3611,10728,{9119}
306,3611,10850,{9119}
307,10728,10850,"{9606072, 9511209, 9119}"
308,11357,3906,{202187}
309,11357,2434,"{11217, 202187}"
310,11357,8509,"{204196, 202187, 107119, 212082, 303157, 303065, 111163}"
311,3906,2434,{202187}
312,3906,8509,{202187}
313,2434,8509,{202187}
314,1180,9305,{203172}
315,2570,2512,{9205114}
316,2570,9278,"{9710097, 9205114}"
317,2512,9278,"{9205114, 9506138}"
318,8838,1939,"{9702202, 9803163, 9706207}"
319,8838,6810,{111072}
320,9603,5528,"{9504112, 9610148, 9606173, 9611159}"
321,9603,2104,"{9504112, 11282, 109107, 9611159, 9712059}"
322,5528,2104,"{9504112, 9604010, 9611159}"
323,3121,10048,{208220}
324,8468,5013,"{9607056, 9309016, 9505029, 9506214}"
325,1000,11594,{9812132}
326,5935,10333,"{9407113, 9508141, 9409141, 9603190, 9409142}"
327,6875,1284,"{9120, 9411115, 11053, 9412114, 9405076, 9902037, 103127, 12056}"
328,6875,10609,"{9120, 108227, 9411115, 11053, 9412114, 9405076, 104245, 9902037, 103127, 12056}"
329,1284,10609,"{9120, 9411115, 11053, 9412114, 9405076, 9902037, 103127, 12056}"
330,227,2138,"{9605105, 9408076}"
331,10795,1893,{9902061}
332,582,433,{202172}
333,9297,50,"{9304065, 9404108}"
334,9297,3627,"{9304065, 204039, 9404108, 9805106, 9905011}"
335,50,3627,"{9304065, 9404108}"
336,5847,7501,"{9909216, 1185, 9601123, 10148, 9712197, 8039, 208202, 103051, 9906219, 208111, 9810098, 9812211, 201108, 9910102, 104119, 9810202, 9706140, 9607167}"
337,10566,11167,"{9903241, 9711116, 9810063, 9512180, 207255, 9510074, 9311038, 207135}"
338,2832,6740,{9704056}
339,2832,2619,"{9704056, 9605183}"
340,6740,2619,"{9704056, 9801042}"
341,6630,9800,"{9612211, 2014}"
342,2964,7694,{9908192}
343,9405,1833,{9705088}
344,9405,12477,{9705088}
345,1833,12477,{9705088}
346,1338,4081,{303078}
347,11686,10875,"{9805028, 9806095, 9171, 11191, 7036, 202109}"
348,6046,11418,{105203}
349,6046,2342,{105203}
350,11418,2342,{105203}
351,114,11742,"{9802176, 9502081, 9811010, 109121, 9503204, 7140, 9502082, 9806112, 302060, 9809134, 9912272, 206001, 205010, 9904181, 3093}"
352,9798,12414,"{9508168, 9607211, 9607212, 9607213, 9607214, 9802038}"
353,2106,11728,{304055}
354,11607,5102,"{11073, 9907074, 9905098, 9808139, 9907086, 9135}"
355,3138,7947,"{9602146, 9405022}"
356,3138,7427,"{9602146, 9410172, 9411158}"
357,3138,6606,{9602146}
358,3138,4041,"{9602146, 9411158, 9410172, 9405022, 9408159}"
359,7947,7427,{9602146}
360,7947,6606,"{9608168, 9602146, 9607069}"
361,7947,4041,"{9602146, 9405022}"
362,7427,6606,{9602146}
363,7427,4041,"{9602146, 9410172, 9411158}"
364,6606,4041,{9602146}
365,6031,7353,"{4194, 110152, 206025, 9809006, 9903246, 9705102, 9901142}"
366,586,8086,"{9210153, 9212155}"
367,5897,4469,{9505122}
368,1638,1707,"{9908131, 9905077, 2251, 9910103}"
369,7002,11700,"{103105, 11076, 9710079}"
370,3026,9736,"{3149, 9912046, 3167}"
371,3026,430,{3149}
372,3026,10059,"{3149, 9912046}"
373,9736,430,{3149}
374,9736,10059,"{3149, 9912046}"
375,430,10059,{3149}
376,1717,12831,{203149}
377,11537,6510,{9609093}
378,8077,9962,"{9407193, 9612177, 9412129}"
379,8629,12391,{9211099}
380,8120,4867,"{9056, 12073, 12116, 5032}"
381,6870,9916,{204170}
382,6870,5417,{204170}
383,9916,5417,{204170}
384,5518,10627,"{2025, 2154}"
385,5518,5879,"{2025, 2154, 6165, 12153}"
386,10627,5879,"{2025, 2154}"
387,8838,7805,{9310118}
388,8838,6707,{9310118}
389,8838,6005,"{9812034, 9405124, 9310118, 9307049, 9905196, 9506131, 9410073, 9702202}"
390,8838,3838,{9310118}
391,7805,6707,{9310118}
392,7805,6005,{9310118}
393,7805,3838,{9310118}
394,6707,6005,"{9206026, 9310118}"
395,6707,3838,{9310118}
396,6005,3838,{9310118}
397,1470,829,"{9702120, 9702073, 202115}"
398,1857,12199,"{9302051, 9308106, 9906228, 9304092, 9310141}"
399,1857,5457,"{9603106, 9308106, 9210003, 9303028, 9502006, 9304092, 9310141}"
400,12199,5457,"{9308106, 9304092, 9310141}"
401,4788,8840,"{7174, 9412009, 9410010, 9612060, 9612093}"
402,4788,2846,"{9712257, 7174, 9811211, 9905038, 9909140, 9111, 9612060, 6181, 9909030, 9806121, 9412009, 105266, 9902132, 110133, 9908025, 9707069, 9612093, 110158, 9410010, 9805026, 9307107, 3298, 11109, 9801190, 9801191, 7145, 9708141, 1005}"
403,8840,2846,"{7174, 9412009, 9410010, 9612060, 9612093}"
404,1576,5108,"{9908130, 2146, 9912204, 7024, 3024, 211059, 10198, 9812158}"
405,1576,2473,"{107138, 211059, 202124, 112015}"
406,5108,2473,{211059}
407,4406,11461,"{7107, 9906119, 206185, 9909035, 103148, 102188, 11244, 9907090, 9912083, 9708149, 11099, 204221}"
408,4406,11873,"{9907090, 9912083, 9906119}"
409,11461,11873,"{109217, 9706023, 9906119, 9601097, 9605229, 9804174, 9911186, 9912083, 9501043, 9907090, 9602167, 9702107, 8031}"
410,4353,990,"{9806248, 209233, 9709216}"
411,11566,2210,"{9212024, 9210154, 9303144, 9408128}"
412,2398,422,"{9812066, 9812114, 9906195, 9812087, 9905112, 9711161}"
413,2398,3769,"{9905112, 9812114, 9906195, 9906118}"
414,422,3769,"{9905112, 9812114, 9906195}"
415,3271,4048,"{9602112, 9811234}"
416,1632,2471,{9410112}
417,1632,3776,{9410112}
418,2471,3776,{9410112}
419,1815,7341,{9408037}
420,1815,5143,{9408037}
421,7341,5143,{9408037}
422,3503,194,"{9809081, 9811242, 9910154}"
423,3503,2559,"{9501122, 9811242, 9910154, 6123, 205199, 9809081}"
424,194,2559,"{9412088, 9809081, 9811242, 9910154}"
425,8097,8817,"{101190, 105135, 212117, 202077, 112125, 112158}"
426,2067,8087,{9411034}
427,530,7063,"{105269, 11045, 209158, 104023}"
428,6111,1717,"{9912264, 9907113, 9812074, 9904109, 9811022, 205104, 9912051}"
429,6111,3967,"{3169, 9701127, 9912264, 9705064, 9907113, 9904109, 9711055, 103152, 205104, 9609107, 9912051, 9703127, 9701149, 9711007}"
430,1717,3967,"{9912264, 9907113, 9904109, 205104, 9912051}"
431,10290,6211,"{9807052, 9807054}"
432,1497,7173,"{108008, 103122, 106146, 205298}"
433,3455,3967,{301065}
434,1306,6330,{9708032}
435,1306,1460,{9708032}
436,1306,939,{9708032}
437,6330,1460,{9708032}
438,6330,939,{9708032}
439,1460,939,{9708032}
440,1429,2330,"{9807161, 5052, 108142}"
441,11497,3244,{9803016}
442,5105,2790,"{9703104, 9512036, 9604006, 9706152, 9409001, 9409078, 9711062, 9711196}"
443,5105,6818,{9512036}
444,2790,6818,{9512036}
445,4831,7478,"{108240, 107154}"
446,7280,12411,"{106155, 9903052}"
447,7280,2206,"{106155, 111165}"
448,7280,5505,"{9512129, 9603108, 106155, 9609111, 9608154, 111165}"
449,12411,2206,{106155}
450,12411,5505,{106155}
451,2206,5505,"{9904033, 107138, 103203, 210083, 202024, 106155, 202124, 112015, 7024, 3024, 10198, 206038, 12156, 111165}"
452,2861,898,"{9607165, 9407074, 9410077}"
453,3262,12272,"{3136, 209211, 109174}"
454,6396,7333,{7178}
455,8693,4885,"{9807010, 9606183, 9607022, 9607023, 9806014}"
456,3012,7516,"{9703211, 9704134, 9801070, 9809061}"
457,530,218,"{9704165, 304197, 9707246}"
458,530,180,"{207280, 204120, 304197}"
459,218,180,{304197}
460,2542,6906,{9905167}
461,2103,5634,"{9712135, 9708041, 2187, 9711030, 9804029, 9904190}"
462,5469,2715,"{9606112, 9612131, 9612254}"
463,7383,11566,{303184}
464,6221,2997,"{4097, 205187, 304131, 9707142, 5127, 101003, 108172, 303117, 9712015, 102032, 9904146, 10004, 112152, 9802139, 105117, 9706143, 204065, 207009, 303011, 9904036, 7205, 103078, 9906216, 1192, 209066, 9701032, 11182, 9905200, 9802160, 9812017, 9015, 9710137, 9710010, 9903033, 9901119, 9905089, 102082, 109122, 105160, 3148, 5197, 212047, 204112, 211023, 212306, 105300, 202198, 9810008, 6232, 209242, 105052, 10205, 9801180, 8160, 9908065, 205282, 9910113, 6115, 1122, 302054, 9806055, 9708139, 105068, 9808109, 11115, 110064, 9911152, 9202, 202098, 201210, 107134, 9912191}"
465,8886,3909,{9311152}
466,10559,3425,"{111009, 9910114, 9901029, 303180, 2062, 11224, 9803035}"
467,10559,6913,"{111009, 9910114, 9901029, 303180, 2062, 9901110, 11224, 9803035}"
468,3425,6913,"{111009, 9910114, 9901029, 303180, 2062, 9711022, 11224, 9803035}"
469,8142,12183,"{9602128, 9706114}"
470,632,3151,{301133}
471,632,5469,{301133}
472,3151,5469,"{104036, 12218, 103124, 301133}"
473,12791,1280,{9607143}
474,12791,5026,{9607143}
475,1280,5026,{9607143}
476,12819,4001,"{9812209, 9805220, 9812028}"
477,12819,12394,"{9812209, 9902179, 9805220, 9812028}"
478,12819,3001,"{9812209, 9804210, 9805220, 9812028}"
479,4001,12394,"{9805220, 9910054, 2127, 9812209, 9812028}"
480,4001,3001,"{9805220, 2127, 9812209, 9801205, 9812028}"
481,12394,3001,"{9812209, 9805220, 9812028, 2127}"
482,6459,11639,{8163}
483,3303,5016,"{9912196, 1128, 2185, 9907125, 4089, 9902011}"
484,3303,6190,"{9902011, 9907125}"
485,5016,6190,"{9902011, 9907125}"
486,5935,1625,"{9208009, 9408055}"
487,2317,11471,{206142}
488,299,9692,{209249}
489,10236,9474,"{1083, 204004, 9710078, 9708062}"
490,9026,8481,"{205018, 11011, 111076}"
491,1329,11173,{10041}
492,1329,12673,"{10041, 111183}"
493,1329,2180,"{10041, 9909076, 111183}"
494,11173,12673,{10041}
495,11173,2180,"{10041, 105196}"
496,12673,2180,"{10041, 5017, 111183}"
497,12484,408,"{9608073, 9604157}"
498,12484,402,"{9608073, 9604157}"
499,408,402,"{9405031, 9407049, 9608073, 9408171, 9608075, 9309133, 9405198, 9602132, 9509014, 9310008, 9312122, 9407163, 9604157}"
500,8675,5086,{9204102}
501,8675,10997,{9204102}
502,8675,4346,{9204102}
503,5086,10997,"{9307101, 9204102, 9307166}"
504,5086,4346,{9204102}
505,10997,4346,"{9204102, 304271}"
506,3416,4373,"{9909152, 3179}"
507,3875,8726,{9505167}
508,1562,9653,"{9712138, 9712140}"
509,7955,4614,"{9803238, 9810256, 9509073, 9702003, 9609013, 9610136}"
510,1023,10642,"{9505093, 9312070, 9403019, 208172, 9506096, 9712081, 9505041, 9410165, 9405111, 9504030}"
511,2439,8278,"{301061, 208052, 204253}"
512,2439,8797,"{301061, 208052, 204253}"
513,8278,8797,"{9707041, 9801122, 1125, 301061, 9707115, 9809168, 9811092, 208052, 6108, 204253}"
514,5476,5450,{9021}
515,11201,11410,"{9801200, 9612203, 9710212, 9512143}"
516,11201,3778,"{9801200, 9612203, 9710212, 9512143}"
517,11201,10922,"{9801200, 9710212, 9512143}"
518,11201,3683,"{9801200, 9710212, 9512143}"
519,11201,11072,"{9801200, 9612203, 9710212, 9512143}"
520,11410,3778,"{9801200, 9612203, 9710212, 9512143}"
521,11410,10922,"{9710212, 9801039, 9801200, 9512143, 9707262}"
522,11410,3683,"{9801200, 9710212, 9512143}"
523,11410,11072,"{9801200, 9612203, 9710212, 9512143}"
524,3778,10922,"{9801200, 9710212, 9512143}"
525,3778,3683,"{9801200, 9710212, 9512143}"
526,3778,11072,"{9801200, 9612203, 9710212, 9512143}"
527,10922,3683,"{9801200, 9710212, 9512143}"
528,10922,11072,"{9801200, 9710212, 9512143}"
529,3683,11072,"{9801200, 9710212, 9512143}"
530,4077,11416,"{212346, 303178, 203070}"
531,4077,3808,"{212346, 303178, 203070}"
532,11416,3808,"{212346, 303178, 203070}"
533,5403,1839,{9802040}
534,5403,9568,"{9802040, 9509109, 9508101}"
535,1839,9568,"{9802040, 9711065, 9705070}"
536,1339,11833,{9312121}
537,7317,11038,"{9305003, 9206014}"
538,10496,84,{210254}
539,4099,8330,{9605063}
540,4954,11069,"{102168, 204078, 106063}"
541,6938,2103,"{6209, 9309039, 9205010, 109176, 9208026, 103069}"
542,739,12889,"{11236, 107127}"
